release_version,profile_id,dataset_id,dataset_kind,samples,decode_count,truth_count,scored_truth_count,wall_seconds,cpu_user_seconds,cpu_system_seconds,cpu_seconds,avg_wall_seconds,avg_cpu_user_seconds,avg_cpu_system_seconds,avg_cpu_seconds,tp,fp,fn,precision,recall,f1
2.3.0,medium,kgoba-ft8-lib,scored,31,412,429,418,97.33370229112916,85.06999900000001,1.459227,86.52922600000001,3.1397968481009406,2.7441935161290325,0.04707183870967742,2.79126535483871,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.3.0,quick,d9394-ft8-test-wave,unscored,11,30,0,0,11.502996124792844,9.430207999999999,0.377583,9.807791,1.0457269204357131,0.8572916363636363,0.03432572727272727,0.8916173636363637,0,0,0,,,
2.3.0,quick,kgoba-ft8-lib,scored,31,298,429,418,40.808992120902985,33.485381999999994,1.16811,34.653492,1.3164191006742898,1.0801736129032256,0.03768096774193548,1.1178545806451612,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.3.1,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,42.6570908324793,37.16203899999999,0.536577,37.698615999999994,3.877917348407209,3.3783671818181813,0.04877972727272727,3.4271469090909084,0,0,0,,,
2.3.1,deepest,kgoba-ft8-lib,scored,31,429,429,418,154.25347775314003,135.420664,1.655753,137.07641700000002,4.975918637198066,4.368408516129032,0.0534113870967742,4.421819903225807,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.3.1,medium,d9394-ft8-test-wave,unscored,11,46,0,0,24.471052335808054,21.105512000000004,0.44663300000000006,21.552144999999996,2.2246411214370956,1.9186829090909094,0.04060300000000001,1.9592859090909087,0,0,0,,,
2.3.1,medium,kgoba-ft8-lib,scored,31,412,429,418,98.16594482888468,85.66584300000002,1.4486949999999998,87.114538,3.166643381576925,2.7634142903225816,0.04673209677419354,2.8101463870967742,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.3.1,quick,d9394-ft8-test-wave,unscored,11,30,0,0,11.585772169753909,9.584379000000002,0.3914009999999999,9.97578,1.0532520154321736,0.871307181818182,0.03558190909090908,0.906889090909091,0,0,0,,,
2.3.1,quick,kgoba-ft8-lib,scored,31,298,429,418,40.127494583139196,33.525884,1.212764,34.73864799999999,1.2944353091335226,1.081480129032258,0.03912141935483871,1.1206015483870966,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.4.0,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,21.182340500876307,17.623651999999996,0.455841,18.079493,1.9256673182614825,1.6021501818181816,0.041440090909090906,1.6435902727272726,0,0,0,,,
2.4.0,deepest,kgoba-ft8-lib,scored,31,429,429,418,77.09429524675943,65.75566200000002,1.3523119999999997,67.107974,2.4869127498954655,2.1211503870967747,0.04362296774193548,2.16477335483871,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.4.0,medium,d9394-ft8-test-wave,unscored,11,46,0,0,15.610301666194573,12.829078999999998,0.41526699999999994,13.244346000000002,1.4191183332904158,1.1662799090909088,0.03775154545454545,1.2040314545454547,0,0,0,,,
2.4.0,medium,kgoba-ft8-lib,scored,31,412,429,418,60.15768845565617,50.75420999999999,1.2832659999999994,52.037476000000005,1.9405705953437475,1.637232580645161,0.04139567741935482,1.6786282580645162,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.4.0,quick,d9394-ft8-test-wave,unscored,11,30,0,0,10.1203015842475,8.247306,0.368592,8.615898,0.9200274167497727,0.7497550909090909,0.033508363636363635,0.7832634545454545,0,0,0,,,
2.4.0,quick,kgoba-ft8-lib,scored,31,298,429,418,35.957674126839265,28.871222000000007,1.148682,30.019904000000004,1.1599249718335247,0.9313297419354841,0.03705425806451613,0.9683840000000001,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.5.0,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,20.456462792353705,17.433513,0.452124,17.885636999999996,1.8596784356685185,1.5848648181818183,0.04110218181818182,1.6259669999999995,0,0,0,,,
2.5.0,deepest,kgoba-ft8-lib,scored,31,429,429,418,75.35341891436838,65.313833,1.360203,66.674036,2.4307554488505927,2.1068978387096773,0.04387751612903226,2.15077535483871,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.5.0,medium,d9394-ft8-test-wave,unscored,11,46,0,0,14.90480837598443,12.664853,0.42856399999999994,13.093416999999999,1.3549825796349482,1.1513502727272729,0.03896036363636363,1.1903106363636362,0,0,0,,,
2.5.0,medium,kgoba-ft8-lib,scored,31,412,429,418,58.94501087651588,50.261936000000006,1.289696,51.551632000000005,1.9014519637585767,1.6213527741935485,0.04160309677419355,1.6629558709677421,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.5.0,quick,d9394-ft8-test-wave,unscored,11,30,0,0,10.125821750843897,8.142672,0.375758,8.518429999999999,0.9205292500767179,0.7402429090909091,0.03415981818181818,0.7744027272727272,0,0,0,,,
2.5.0,quick,kgoba-ft8-lib,scored,31,298,429,418,34.79242233722471,28.600562000000004,1.1444969999999999,29.74505900000001,1.1223362044266034,0.9225987741935485,0.036919258064516125,0.9595180322580648,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.5.1,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,20.767577667022124,17.597693,0.4474039999999999,18.045097000000002,1.8879616060929203,1.5997902727272726,0.0406730909090909,1.640463363636364,0,0,0,,,
2.5.1,deepest,kgoba-ft8-lib,scored,31,429,429,418,76.45105483406223,65.41501000000001,1.3592609999999998,66.774271,2.4661630591632977,2.110161612903226,0.043847129032258056,2.154008741935484,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.5.1,medium,d9394-ft8-test-wave,unscored,11,46,0,0,14.852274789242074,12.565276999999998,0.413773,12.97905,1.3502067990220068,1.142297909090909,0.03761572727272727,1.1799136363636364,0,0,0,,,
2.5.1,medium,kgoba-ft8-lib,scored,31,412,429,418,58.50680950284004,50.042370999999996,1.284516,51.32688699999999,1.8873164355754852,1.6142700322580643,0.041436,1.6557060322580643,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.5.1,quick,d9394-ft8-test-wave,unscored,11,30,0,0,10.087437582900748,8.123441,0.37913199999999997,8.502573,0.9170397802637044,0.7384946363636363,0.03446654545454545,0.7729611818181819,0,0,0,,,
2.5.1,quick,kgoba-ft8-lib,scored,31,298,429,418,35.518642872804776,28.495682999999996,1.1428219999999998,29.638504999999995,1.1457626733162831,0.9192155806451612,0.03686522580645161,0.9560808064516128,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.5.2,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,20.61063991812989,17.778876999999998,0.46757000000000004,18.246447,1.8736945380118082,1.6162615454545453,0.04250636363636364,1.658767909090909,0,0,0,,,
2.5.2,deepest,kgoba-ft8-lib,scored,31,429,429,418,76.69574503554031,66.46024,1.4107429999999996,67.87098300000001,2.4740562914690423,2.1438787096774194,0.04550783870967741,2.189386548387097,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.5.2,medium,d9394-ft8-test-wave,unscored,11,46,0,0,15.634936291957274,12.744569,0.43534500000000004,13.179913999999998,1.4213578447233886,1.158597181818182,0.039576818181818185,1.1981739999999999,0,0,0,,,
